Nom;Prénom;Groupe;Parti ou groupement politique;ID_AN
Mirallès;Patricia;La République en Marche;En marche !;OMC_PA719668
Mis;Jean-Michel;La République en Marche;En marche !;OMC_PA719952
Molac;Paul;La République en Marche;Régions et peuples solidaires;OMC_PA607619
de Montchalin;Amélie;La République en Marche;En marche !;OMC_PA721670
Mörch;Sandrine;La République en Marche;En marche !;OMC_PA719456
Moreau;Jean-Baptiste;La République en Marche;En marche !;OMC_PA719242
Morel-À-L'Huissier;Pierre;UDI, Agir et Indépendants;Les Républicains;OMC_PA266788
Morenas;Adrien;La République en Marche;En marche !;OMC_PA721876
Motin;Cendra;La République en Marche;En marche !;OMC_PA719850
Moutchou;Naïma;La République en Marche;En marche !;OMC_PA720908
Muschotti;Cécile;La République en Marche;En marche !;OMC_PA721656
Nadot;Sébastien;La République en Marche;En marche !;OMC_PA719464
Naegelen;Christophe;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA721486
Nilor;Jean-Philippe;Gauche démocrate et républicaine;Mouvement Indépendantiste Martiniquais;OMC_PA610654
Nogal;Mickaël;La République en Marche;En marche !;OMC_PA719520
Nury;Jérôme;Les Républicains;Les Républicains;OMC_PA720644
O;Delphine;La République en Marche;En marche !;OMC_PA721956
Obono;Danièle;La France insoumise;La France Insoumise;OMC_PA721960
O'Petit;Claire;La République en Marche;En marche !;OMC_PA719364
Oppelt;Valérie;La République en Marche;En marche !;OMC_PA720108
Orphelin;Matthieu;La République en Marche;En marche !;OMC_PA720278
Osson;Catherine;La République en Marche;En marche !;OMC_PA720492
Pahun;Jimmy;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720334
Pajot;Ludovic;Non inscrit;Front National;OMC_PA720606
Paluszkiewicz;Xavier;La République en Marche;En marche !;OMC_PA720402
Pancher;Bertrand;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA333421
Panonacle;Sophie;La République en Marche;En marche !;OMC_PA719632
Panot;Mathilde;La France insoumise;La France Insoumise;OMC_PA720892
Parigi;Jean-François;Les Républicains;Les Républicains;OMC_PA721636
Paris;Didier;La République en Marche;En marche !;OMC_PA719202
Park;Zivka;La République en Marche;En marche !;OMC_PA720944
Pauget;Éric;Les Républicains;Les Républicains;OMC_PA718784
Pau-Langevin;George;Nouvelle Gauche;Parti socialiste;OMC_PA335532
Pellois;Hervé;La République en Marche;En marche !;OMC_PA607595
Peltier;Guillaume;Les Républicains;Les Républicains;OMC_PA719946
Perea;Alain;La République en Marche;En marche !;OMC_PA718802
Perrot;Patrice;La République en Marche;En marche !;OMC_PA720414
Perrut;Bernard;Les Républicains;Les Républicains;OMC_PA2377
Person;Pierre;La République en Marche;En marche !;OMC_PA721568
Petel;Anne-Laurence;La République en Marche;En marche !;OMC_PA718930
Petit;Frédéric;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721182
Petit;Maud;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721234
Petit;Valérie;La République en Marche;En marche !;OMC_PA720500
Peu;Stéphane;Gauche démocrate et républicaine;Parti communiste français;OMC_PA721270
Peyrol;Bénédicte;La République en Marche;En marche !;OMC_PA718736
Peyron;Michèle;La République en Marche;En marche !;OMC_PA721710
Pichereau;Damien;La République en Marche;En marche !;OMC_PA721372
Pietraszewski;Laurent;La République en Marche;En marche !;OMC_PA720512
Pinel;Sylvia;Non inscrit;Parti radical de gauche;OMC_PA336175
Pires Beaune;Christine;Nouvelle Gauche;Parti socialiste;OMC_PA608172
Piron;Béatrice;La République en Marche;En marche !;OMC_PA721844
Pitollat;Claire;La République en Marche;En marche !;OMC_PA718910
Poletti;Bérengère;Les Républicains;Les Républicains;OMC_PA267260
Polutele;Napole;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA693008
Pompili;Barbara;La République en Marche;En marche !;OMC_PA609520
Pont;Jean-Pierre;La République en Marche;En marche !;OMC_PA2449
Portarrieu;Jean-François;La République en Marche;En marche !;OMC_PA719528
Potier;Dominique;Nouvelle Gauche;Parti socialiste;OMC_PA607553
Potterie;Benoit;La République en Marche;En marche !;OMC_PA720590
Poueyto;Josy;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720720
Poulliat;Éric;La République en Marche;En marche !;OMC_PA719600
Pouzyreff;Natalia;La République en Marche;En marche !;OMC_PA721916
Pradié;Aurélien;Les Républicains;Les Républicains;OMC_PA720100
Prud'homme;Loïc;La France insoumise;La France Insoumise;OMC_PA719578
Pueyo;Joaquim;Nouvelle Gauche;Parti socialiste;OMC_PA608011
Pupponi;François;Nouvelle Gauche;Parti socialiste;OMC_PA405480
Quatennens;Adrien;La France insoumise;La France Insoumise;OMC_PA720422
Quentin;Didier;Les Républicains;Les Républicains;OMC_PA2492
Questel;Bruno;La République en Marche;En marche !;OMC_PA643127
Rabault;Valérie;Nouvelle Gauche;Parti socialiste;OMC_PA609590
Racon-Bouzon;Cathy;La République en Marche;En marche !;OMC_PA718944
Ramadier;Alain;Les Républicains;Les Républicains;OMC_PA721286
Ramassamy;Nadia;Les Républicains;Les Républicains;OMC_PA721070
Ramos;Richard;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720092
Raphan;Pierre-Alain;La République en Marche;En marche !;OMC_PA721888
Ratenon;Jean-Hugues;La France insoumise;La France Insoumise;OMC_PA721062
Rauch;Isabelle;La République en Marche;En marche !;OMC_PA720552
Rebeyrotte;Rémy;La République en Marche;En marche !;OMC_PA722398
Reda;Robin;Les Républicains;Les Républicains;OMC_PA721678
Reiss;Frédéric;Les Républicains;Les Républicains;OMC_PA266776
Reitzer;Jean-Luc;Les Républicains;Les Républicains;OMC_PA2529
Renson;Hugues;La République en Marche;En marche !;OMC_PA721824
Ressiguier;Muriel;La France insoumise;La France Insoumise;OMC_PA719676
Reynès;Bernard;Les Républicains;Les Républicains;OMC_PA330788
Riester;Franck;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA335758
Rilhac;Cécile;La République en Marche;En marche !;OMC_PA720900
Riotton;Véronique;La République en Marche;En marche !;OMC_PA721426
Rist;Stéphanie;La République en Marche;En marche !;OMC_PA720066
Rixain;Marie-Pierre;La République en Marche;En marche !;OMC_PA722252
Robert;Mireille;La République en Marche;En marche !;OMC_PA718810
Robert;Thierry;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA610733
Rolland;Vincent;Les Républicains;Les Républicains;OMC_PA266808
Romeiro Dias;Laëtitia;La République en Marche;En marche !;OMC_PA722022
Roseren;Xavier;La République en Marche;En marche !;OMC_PA721458
Rossi;Laurianne;La République en Marche;En marche !;OMC_PA721600
Rouillard;Gwendal;La République en Marche;En marche !;OMC_PA343493
Roussel;Cédric;La République en Marche;En marche !;OMC_PA718902
Roussel;Fabien;Gauche démocrate et républicaine;Parti communiste français;OMC_PA720692
Rubin;Sabine;La France insoumise;La France Insoumise;OMC_PA721226
Rudigoz;Thomas;La République en Marche;En marche !;OMC_PA722292
Ruffin;François;La France insoumise;La France Insoumise;OMC_PA722142
de Rugy;François;La République en Marche;En marche !;OMC_PA332747
Rupin;Pacôme;La République en Marche;En marche !;OMC_PA721616
Saddier;Martial;Les Républicains;Les Républicains;OMC_PA267527
Sage;Maina;UDI, Agir et Indépendants;Tapura Huiraatira;OMC_PA702052
Saint-Martin;Laurent;La République en Marche;En marche !;OMC_PA720878
Saint-Paul;Laetitia;La République en Marche;En marche !;OMC_PA720138
Sanquer;Nicole;UDI, Agir et Indépendants;Tapura Huiraatira;OMC_PA721110
Sarles;Nathalie;La République en Marche;En marche !;OMC_PA719972
de Sarnez;Marielle;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA717151
Saulignac;Hervé;Nouvelle Gauche;Parti socialiste;OMC_PA340343
Savatier;Jacques;La République en Marche;En marche !;OMC_PA722078
Schellenberger;Raphaël;Les Républicains;Les Républicains;OMC_PA721314
Sempastous;Jean-Bernard;La République en Marche;En marche !;OMC_PA720780
Sermier;Jean-Marie;Les Républicains;Les Républicains;OMC_PA267204
Serva;Olivier;La République en Marche;En marche !;OMC_PA720960
Serville;Gabriel;Gauche démocrate et républicaine;Parti progressiste martiniquais;OMC_PA610667
Simian;Benoit;La République en Marche;En marche !;OMC_PA719592
Solère;Thierry;La République en Marche;En marche !;OMC_PA346876
Sommer;Denis;La République en Marche;En marche !;OMC_PA719420
Son-Forget;Joachim;La République en Marche;En marche !;OMC_PA721174
Sorre;Bertrand;La République en Marche;En marche !;OMC_PA720190
Straumann;Éric;Les Républicains;Les Républicains;OMC_PA334654
Studer;Bruno;La République en Marche;En marche !;OMC_PA720754
Sylla;Sira;La République en Marche;En marche !;OMC_PA722118
Tabarot;Michèle;Les Républicains;Les Républicains;OMC_PA267794
Taché;Aurélien;La République en Marche;En marche !;OMC_PA720952
Tamarelle-Verhaeghe;Marie;La République en Marche;En marche !;OMC_PA719350
Tan;Buon;La République en Marche;En marche !;OMC_PA721690
Tanguy;Liliana;La République en Marche;En marche !;OMC_PA719550
Taquet;Adrien;La République en Marche;En marche !;OMC_PA722086
Taugourdeau;Jean-Charles;Les Républicains;Les Républicains;OMC_PA2792
Taurine;Bénédicte;La France insoumise;La France Insoumise;OMC_PA718860
Teissier;Guy;Les Républicains;Les Républicains;OMC_PA2796
Terlier;Jean;La République en Marche;En marche !;OMC_PA721584
Testé;Stéphane;La République en Marche;En marche !;OMC_PA720854
Thiébaut;Vincent;La République en Marche;En marche !;OMC_PA722336
Thill;Agnès;La République en Marche;En marche !;OMC_PA720568
Thillaye;Sabine;La République en Marche;En marche !;OMC_PA719822
Thomas;Valérie;La République en Marche;En marche !;OMC_PA720830
Thourot;Alice;La République en Marche;En marche !;OMC_PA719302
Tiegna;Huguette;La République en Marche;En marche !;OMC_PA720014
Touraine;Jean-Louis;La République en Marche;En marche !;OMC_PA334768
Tourret;Alain;La République en Marche;En marche !;OMC_PA2828
Toutut-Picard;Élisabeth;La République en Marche;En marche !;OMC_PA719540
Trastour-Isnart;Laurence;Les Républicains;Les Républicains;OMC_PA718780
Trisse;Nicole;La République en Marche;En marche !;OMC_PA720394
Trompille;Stéphane;La République en Marche;En marche !;OMC_PA718682
Tuffnell;Frédérique;La République en Marche;En marche !;OMC_PA719092
Turquois;Nicolas;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA722162
Untermaier;Cécile;Nouvelle Gauche;Parti socialiste;OMC_PA608695
Vainqueur-Christophe;Hélène;Nouvelle Gauche;Parti progressiste martiniquais;OMC_PA643145
Valentin;Isabelle;Les Républicains;Les Républicains;OMC_PA643134
Valetta Ardisson;Alexandra;La République en Marche;En marche !;OMC_PA718768
Vallaud;Boris;Nouvelle Gauche;Parti socialiste;OMC_PA719930
Valls;Manuel;La République en Marche;En marche !;OMC_PA267622
Vanceunebrock-Mialon;Laurence;La République en Marche;En marche !;OMC_PA718728
Vatin;Pierre;Les Républicains;Les Républicains;OMC_PA720586
de Vaucouleurs;Michèle;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721924
Véran;Olivier;La République en Marche;En marche !;OMC_PA642788
Vercamer;Francis;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267585
Verchère;Patrice;Les Républicains;Les Républicains;OMC_PA334843
Verdier-Jouclas;Marie-Christine;La République en Marche;En marche !;OMC_PA721542
de la Verpillière;Charles;Les Républicains;Les Républicains;OMC_PA1012
Viala;Arnaud;Les Républicains;Les Républicains;OMC_PA709315
Vialay;Michel;Les Républicains;Les Républicains;OMC_PA721968
Vichnievsky;Laurence;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720704
Vidal;Annie;La République en Marche;En marche !;OMC_PA722102
Vigier;Jean-Pierre;Les Républicains;Les Républicains;OMC_PA607090
Vigier;Philippe;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA331582
Vignal;Patrick;La République en Marche;En marche !;OMC_PA606639
Vignon;Corinne;La République en Marche;En marche !;OMC_PA719512
Villani;Cédric;La République en Marche;En marche !;OMC_PA722260
Villiers;André;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA421348
Viry;Stéphane;Les Républicains;Les Républicains;OMC_PA721474
Vuilletet;Guillaume;La République en Marche;En marche !;OMC_PA721262
Warsmann;Jean-Luc;UDI, Agir et Indépendants;Les Républicains;OMC_PA2952
Waserman;Sylvain;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720746
Woerth;Éric;Les Républicains;Les Républicains;OMC_PA2960
Wonner;Martine;La République en Marche;En marche !;OMC_PA722268
Wulfranc;Hubert;Gauche démocrate et républicaine;Parti communiste français;OMC_PA722110
Zannier;Hélène;La République en Marche;En marche !;OMC_PA720318
Zulesi;Jean-Marc;La République en Marche;En marche !;OMC_PA718962
Zumkeller;Michel;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267330
