Nom;Prénom;Groupe;Parti ou groupement politique;ID_AN
Cellier;Anthony;La République en Marche;En marche !;OMC_PA719440
Cesarini;Jean-François;La République en Marche;En marche !;OMC_PA721860
Chalas;Émilie;La République en Marche;En marche !;OMC_PA719748
Chalumeau;Philippe;La République en Marche;En marche !;OMC_PA719790
Chapelier;Annie;La République en Marche;En marche !;OMC_PA719448
Charrière;Sylvie;La République en Marche;En marche !;OMC_PA721218
Charvier;Fannette;La République en Marche;En marche !;OMC_PA719170
Chassaigne;André;Gauche démocrate et républicaine;Parti communiste français;OMC_PA267306
Chassaing;Philippe;La République en Marche;En marche !;OMC_PA719250
Chenu;Sébastien;Non inscrit;Front National;OMC_PA720468
Cherpion;Gérard;Les Républicains;Les Républicains;OMC_PA856
Chiche;Guillaume;La République en Marche;En marche !;OMC_PA722126
Christophe;Paul;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA642868
Cinieri;Dino;Les Républicains;Les Républicains;OMC_PA267429
Ciotti;Éric;Les Républicains;Les Républicains;OMC_PA330240
Claireaux;Stéphane;La République en Marche;Cap sur l'avenir;OMC_PA702054
Clapot;Mireille;La République en Marche;En marche !;OMC_PA719294
Clément;Jean-Michel;La République en Marche;En marche !;OMC_PA336439
Cloarec;Christine;La République en Marche;En marche !;OMC_PA719756
Colas-Roy;Jean-Charles;La République en Marche;En marche !;OMC_PA719740
Colboc;Fabienne;La République en Marche;En marche !;OMC_PA719814
Collard;Gilbert;Non inscrit;Front National;OMC_PA606212
Colombani;Paul-André;Non inscrit;Régions et peuples solidaires;OMC_PA719286
Coquerel;Éric;La France insoumise;La France Insoumise;OMC_PA721202
Corbière;Alexis;La France insoumise;La France Insoumise;OMC_PA721210
Cordier;Pierre;Les Républicains;Les Républicains;OMC_PA718850
Cormier-Bouligeon;François;La République en Marche;En marche !;OMC_PA719118
Corneloup;Josiane;Les Républicains;Les Républicains;OMC_PA722390
Cornut-Gentille;François;Les Républicains;Les Républicains;OMC_PA923
Couillard;Bérangère;La République en Marche;En marche !;OMC_PA719624
de Courson;Charles;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA942
de Courson;Yolaine;La République en Marche;En marche !;OMC_PA719194
Crouzet;Michèle;La République en Marche;En marche !;OMC_PA721808
Cubertafon;Jean-Pierre;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719266
Dalloz;Marie-Christine;Les Républicains;Les Républicains;OMC_PA332523
Damaisin;Olivier;La République en Marche;En marche !;OMC_PA720268
Daniel;Yves;La République en Marche;En marche !;OMC_PA607155
Da Silva;Dominique;La République en Marche;En marche !;OMC_PA720932
Dassault;Olivier;Les Républicains;Les Républicains;OMC_PA998
David;Alain;Nouvelle Gauche;Parti socialiste;OMC_PA1008
David;Dominique;La République en Marche;En marche !;OMC_PA719710
Deflesselles;Bernard;Les Républicains;Les Républicains;OMC_PA1029
Degois;Typhanie;La République en Marche;En marche !;OMC_PA721398
Delatte;Marc;La République en Marche;En marche !;OMC_PA718694
Delatte;Rémi;Les Républicains;Les Républicains;OMC_PA267450
Delpon;Michel;La République en Marche;En marche !;OMC_PA719258
Demilly;Stéphane;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267241
Démoulin;Nicolas;La République en Marche;En marche !;OMC_PA719830
Deprez-Audebert;Marguerite;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720598
Descamps;Béatrice;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA720696
Descoeur;Vincent;Les Républicains;Les Républicains;OMC_PA330909
Descrozaille;Frédéric;La République en Marche;En marche !;OMC_PA720862
De Temmerman;Jennifer;La République en Marche;En marche !;OMC_PA720538
Dharréville;Pierre;Gauche démocrate et républicaine;Parti communiste français;OMC_PA718926
Diard;Éric;Les Républicains;Les Républicains;OMC_PA267440
Di Filippo;Fabien;Les Républicains;Les Républicains;OMC_PA720386
Di Pompeo;Christophe;La République en Marche;En marche !;OMC_PA720438
Dirx;Benjamin;La République en Marche;En marche !;OMC_PA722382
Dive;Julien;Les Républicains;Les Républicains;OMC_PA712015
Djebbari;Jean-Baptiste;La République en Marche;En marche !;OMC_PA722236
Do;Stéphanie;La République en Marche;En marche !;OMC_PA721718
Dombreval;Loïc;La République en Marche;En marche !;OMC_PA718894
Door;Jean-Pierre;Les Républicains;Les Républicains;OMC_PA267289
Dubié;Jeanine;Non inscrit;Parti radical de gauche;OMC_PA608292
Dubois;Jacqueline;La République en Marche;En marche !;OMC_PA719162
Dubois;Marianne;Les Républicains;Les Républicains;OMC_PA342935
Dubos;Christelle;La République en Marche;En marche !;OMC_PA719660
Dubost;Coralie;La République en Marche;En marche !;OMC_PA719684
Dubré-Chirat;Nicole;La République en Marche;En marche !;OMC_PA720154
Duby-Muller;Virginie;Les Républicains;Les Républicains;OMC_PA608826
Dufeu Schubert;Audrey;La République en Marche;En marche !;OMC_PA720046
Dufrègne;Jean-Paul;Gauche démocrate et républicaine;Parti communiste français;OMC_PA718720
Dumas;Françoise;La République en Marche;En marche !;OMC_PA606202
Dumas;Frédérique;La République en Marche;En marche !;OMC_PA721194
Dumont;Laurence;Nouvelle Gauche;Parti socialiste;OMC_PA1198
Dumont;Pierre-Henri;Les Républicains;Les Républicains;OMC_PA720684
Dunoyer;Philippe;UDI, Agir et Indépendants;Calédonie Ensemble;OMC_PA721094
Dupont;Stella;La République en Marche;En marche !;OMC_PA643175
Dupont-Aignan;Nicolas;Non inscrit;Debout la France;OMC_PA1206
Dussopt;Olivier;Nouvelle Gauche;Parti socialiste;OMC_PA330357
Duvergé;Bruno;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720652
El Guerrab;M'jid;Non inscrit;Parti radical de gauche;OMC_PA720996
El Haïry;Sarah;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720002
Eliaou;Jean-François;La République en Marche;En marche !;OMC_PA719692
Elimas;Nathalie;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720924
Errante;Sophie;La République en Marche;En marche !;OMC_PA607193
Essayan;Nadia;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719044
Euzet;Christophe;La République en Marche;En marche !;OMC_PA719616
Evrard;José;Non inscrit;Non déclaré(s);OMC_PA720664
Fabre;Catherine;La République en Marche;En marche !;OMC_PA719570
Fajgeles;Élise;La République en Marche;En marche !;OMC_PA721564
Falorni;Olivier;Non inscrit;Parti radical de gauche;OMC_PA605694
Fanget;Michel;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA1276
Fasquelle;Daniel;Les Républicains;Les Républicains;OMC_PA334149
Faucillon;Elsa;Gauche démocrate et républicaine;Parti communiste français;OMC_PA721896
Faure;Olivier;Nouvelle Gauche;Parti socialiste;OMC_PA609332
Faure-Muntian;Valéria;La République en Marche;En marche !;OMC_PA719960
Fauvergue;Jean-Michel;La République en Marche;En marche !;OMC_PA721702
Favennec Becot;Yannick;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267042
Ferrand;Richard;La République en Marche;En marche !;OMC_PA606171
Ferrara;Jean-Jacques;Les Républicains;Les Républicains;OMC_PA643103
Fesneau;Marc;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA719938
Fiat;Caroline;La France insoumise;La France Insoumise;OMC_PA720286
Fiévet;Jean-Marie;La République en Marche;En marche !;OMC_PA722134
Firmin Le Bodo;Agnès;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267780
Florennes;Isabelle;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721742
Folliot;Philippe;La République en Marche;En marche !;OMC_PA267673
Fontaine-Domeizel;Emmanuelle;La République en Marche;En marche !;OMC_PA718706
Fontenel-Personne;Pascale;La République en Marche;En marche !;OMC_PA721384
Forissier;Nicolas;Les Républicains;Les Républicains;OMC_PA1327
Forteza;Paula;La République en Marche;En marche !;OMC_PA721142
Freschi;Alexandre;La République en Marche;En marche !;OMC_PA720030
Fuchs;Bruno;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA722284
Fugit;Jean-Luc;La République en Marche;En marche !;OMC_PA722366
Furst;Laurent;Les Républicains;Les Républicains;OMC_PA266774
Gaillard;Olivier;La République en Marche;En marche !;OMC_PA719480
Gaillot;Albane;La République en Marche;En marche !;OMC_PA721246
Galbadon;Grégory;La République en Marche;En marche !;OMC_PA720198
Gallerneau;Patricia;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721992
de Ganay;Claude;Les Républicains;Les Républicains;OMC_PA267735
Garcia;Laurent;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720178
Garot;Guillaume;Nouvelle Gauche;Parti socialiste;OMC_PA333285
Gassilloud;Thomas;La République en Marche;En marche !;OMC_PA722358
Gaultier;Jean-Jacques;Les Républicains;Les Républicains;OMC_PA267324
Gauvain;Raphaël;La République en Marche;En marche !;OMC_PA721364
Gayte;Laurence;La République en Marche;En marche !;OMC_PA720806
Genetet;Anne;La République en Marche;En marche !;OMC_PA721024
Genevard;Annie;Les Républicains;Les Républicains;OMC_PA605991
