Nom_de_famille;ID_AN;Nom;Groupe;Parti ou groupement politique
Khattabi;OMC_PA719186;Mme Fadila Khattabi;La République en Marche;En marche !
Khedher;OMC_PA722300;Mme Anissa Khedher;La République en Marche;En marche !
Kokouendo;OMC_PA721644;M. Rodrigue Kokouendo;La République en Marche;En marche !
Krabal;OMC_PA605084;M. Jacques Krabal;La République en Marche;En marche !
Krimi;OMC_PA720202;Mme Sonia Krimi;La République en Marche;En marche !
Kuric;OMC_PA720214;Mme Aina Kuric;La République en Marche;En marche !
Kuster;OMC_PA721506;Mme Brigitte Kuster;Les Républicains;Les Républicains
Laabid;OMC_PA719842;M. Mustapha Laabid;La République en Marche;En marche !
Labaronne;OMC_PA719798;M. Daniel Labaronne;La République en Marche;En marche !
Lachaud;OMC_PA720846;M. Bastien Lachaud;La France insoumise;La France Insoumise
Lacroute;OMC_PA609245;Mme Valérie Lacroute;Les Républicains;Les Républicains
Lagarde J;OMC_PA268019;M. Jean-Christophe Lagarde;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Lagleize;OMC_PA719504;M. Jean-Luc Lagleize;Mouvement Démocrate et apparentés;Mouvement Démocrate
Laine;OMC_PA719918;M. Fabien Lainé;Mouvement Démocrate et apparentés;Mouvement Démocrate
Lakrafi;OMC_PA721004;Mme Amélia Lakrafi;La République en Marche;En marche !
Lambert;OMC_PA1809;M. Jérôme Lambert;Socialistes et apparentés;Parti socialiste
LambertF;OMC_PA605518;M. François-Michel Lambert;Libertés et Territoires;Parti radical de gauche
Lang;OMC_PA643205;Mme Anne-Christine Lang;La République en Marche;En marche !
Laqhila;OMC_PA718978;M. Mohamed Laqhila;Mouvement Démocrate et apparentés;Mouvement Démocrate
LaRaudiere (de);OMC_PA331567;Mme Laure de La Raudière;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux
Lardet;OMC_PA721434;Mme Frédérique Lardet;La République en Marche;En marche !
Larive;OMC_PA718868;M. Michel Larive;La France insoumise;La France Insoumise
Larrive;OMC_PA267785;M. Guillaume Larrivé;Les Républicains;Les Républicains
Larsonneur;OMC_PA719396;M. Jean-Charles Larsonneur;La République en Marche;En marche !
Lassalle;OMC_PA1838;M. Jean Lassalle;Non inscrit;Régions et peuples solidaires
Lasserre-David;OMC_PA720764;Mme Florence Lasserre-David;Mouvement Démocrate et apparentés;Mouvement Démocrate
Latombe;OMC_PA721984;M. Philippe Latombe;Mouvement Démocrate et apparentés;Mouvement Démocrate
Lauzzana;OMC_PA720022;M. Michel Lauzzana;La République en Marche;En marche !
Lavergne (de);OMC_PA719310;Mme Célia de Lavergne;La République en Marche;En marche !
Lazaar;OMC_PA720916;Mme Fiona Lazaar;La République en Marche;En marche !
Lebec;OMC_PA721852;Mme Marie Lebec;La République en Marche;En marche !
LeBohec;OMC_PA719728;M. Gaël Le Bohec;La République en Marche;En marche !
Leclabart;OMC_PA722228;M. Jean-Claude Leclabart;La République en Marche;En marche !
Leclerc;OMC_PA340853;M. Sébastien Leclerc;Les Républicains;Les Républicains
Lecocq;OMC_PA720480;Mme Charlotte Lecocq;La République en Marche;En marche !
